AsynchronousMachineUserDefined 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ContinuousGlucoseMeterStatus 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Money 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
MechanicalLoadDynamics 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcitationSystemUserDefined 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SeasonDayTypeSchedule 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
FishPopulation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcST4B 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AnimalMovement 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
KeyPerformanceIndicator 	 	 | kpiValue 	 	 | Type of kpiValue is not a single String 
KeyPerformanceIndicator 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WasteContainerModel 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WeatherObserved 	 	 | pressureTendency 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WeatherObserved 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WeatherObserved 	 	 | visibility 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RegulationStructureSimulation 	 	 | value 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RegulationStructureSimulation 	 	 | value 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RegulationStructureSimulation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RegulationStructureSimulation 	 	 | value 	 	 | Property has 'oneOf' or 'anyOf' of different types 
PssIEEE4B 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcST7B 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
IdentifiedObject 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EODataHub 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RegulatingControl 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GreenEnergyGenerator 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcIEEEST6B 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WasteWaterSimulationResult 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Alert 	 	 | data 	 	 | Unexpected ClassCastException in 'convertYamlContent'! {description=Payload containing the data retrieved., type=object, x-ngsi={type=Property}} 
Alert 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
MeasurementValue 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Capacitance 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
PhaseTapChangerTabular 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
valueconditional 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
StreetlightGroup 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VoltageAdjusterDynamics 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
HbA1c 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcDC3A 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
DynamicsVersion 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EquivalentBranch 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GovHydroDD 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Voltage 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcIEEEAC6A 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Rule 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
TechnicalCabinetDevice 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
BasicIntervalSchedule 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RatioTapChangerTablePoint 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AccumulatorLimit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EnergySchedulingType 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AsynchronousMachineDynamics 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
IndoorEnvironmentObserved 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
DataServiceDCAT-AP 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
FossilFuel 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
OpenLevel 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
station_information 	 	 | vehicle_capacity 	 	 | Unexpected ClassCastException in 'convertYamlContent'! {additionalProperties={type=number}, description=An object where each key is a vehicle_type_id and the value is a number presenting the total number of vehicles of this type that can park within the station_area (added in v2.1-RC)., type=object} 
station_information 	 	 | vehicle_type_capacity 	 	 | Unexpected ClassCastException in 'convertYamlContent'! {additionalProperties={type=number}, description=An object where each key is a vehicle_type_id and the value is a number representing the total docking points installed at this station for each vehicle type (added in v2.1-RC)., type=object} 
RatioTapChangerTable 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
PssPTIST3 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GovHydro2 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcIEEEAC4A 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GovHydro4 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ResistancePerLength 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExternalNetworkInjection 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RobotArm 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
StreetlightControlCabinet 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Asset 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
TopologicalNode 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GlucoseMeal 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SynchronousMachineEquivalentCircuit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Altimeter 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
OpenChannelCurve 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Animal 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
NoiseLevelObserved 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VCompIEEEType1 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Sensor 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
FleetVehicleOperation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WaterInfo 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Accumulator 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcAC1A 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
PssWECC 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WindAeroLinearIEC 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Motion 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AutoFocus 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Compartment 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AnalogLimit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ExcST2A 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ControlArea 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WindGeneratingUnit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SubscriptionQuery 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
CurrentFlow 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EVChargingStation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
EOSatellitePlatform 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
LoadArea 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Streetlight 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SimulationResult 	 	 | value 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SimulationResult 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ReactivePower 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Junction 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
PrivacyObject 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
UVBRadiation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GtfsTrip 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GovSteamEU 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AirFlow 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ApparentPowerLimit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GeographicalLocationVersion 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AgriApp 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Conversion 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
BodyLocationTemperature 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WeatherForecast 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WeatherForecast 	 	 | visibility 	 	 | Property has 'oneOf' or 'anyOf' of different types 
VsCapabilityCurve 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
SvShuntCompensatorSections 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
NoisePollution 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
RotatingMachineDynamics 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Road 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GeneratingUnit 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
AsynchronousMachineTimeConstantReactance 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
Complaint 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GtfsFrequency 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
GtfsService 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
ArrivalEstimation 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
WindGenTurbineType3bIEC 	 	 | seeAlso 	 	 | Property has 'oneOf' or 'anyOf' of different types 
